name,measurement_unit
папоротник соленый,упаковка
паппарделле,гр.
паприка,гр.
паприка копченая,ст. л.
паприка красная,ст. л.
паприка красная молотая,гр.
паприка острая копченая,гр.
паприка сладкая,гр.
паприка сладкая копченая,гр.
паприка сладкая хлопьями,ч. л.
пармезан,гр.
паста,гр.
паста веджимайт,гр.
паста тахини,гр.
паста хариса,ст. л.
пастернак,гр.
пастила,гр.
пастила виноградная,гр.
патиссоны,гр.
патока,гр.
патока крахмальная,гр.
патока черная (меласса),гр.
пахта,гр.
паштет,гр.
пекарский порошок,гр.
пекарский порошок,ч. л.
пекорино,гр.
пектин,гр.
пеленгас,гр.
пельмени,гр.
пенне,гр.
пенне ригате,гр.
пеперончино,ч. л.
пеперончино молотый,щепотка
переводной лист для шоколада,шт.
перепелки,тушка
перец,гр.
перец белый,гр.
перец белый горошком,по вкусу
перец белый молотый,гр.
перец белый свежемолотый,ч. л.
перец болгарский,гр.
перец болгарский желтый,гр.
перец болгарский зеленый,гр.
перец болгарский красный,гр.
перец горошком,гр.
перец горошком смесь,гр.
перец душистый,щепотка
перец душистый горошком,гр.
перец душистый молотый,гр.
перец испанский острый,шт.
перец кайенский,гр.
перец кайенский красный,гр.
перец кайенский молотый,щепотка
перец красный,гр.
перец красный горошком,гр.
перец красный жгучий,гр.
перец красный молотый,гр.
перец красный острый,гр.
перец красный острый молотый,по вкусу
перец красный хлопьями,щепотка
перец лимонный,гр.
перец маринованный,гр.
перец острый,гр.
перец острый зеленый,шт.
перец острый молотый,щепотка
перец падрон,гр.
перец пеперони,гр.
перец пеперони красный,шт.
перец розовый горошком,гр.
перец свежемолотый смесь,гр.
перец сенегальский,по вкусу
перец сладкий,гр.
перец сладкий желтый,гр.
перец сладкий зеленый,гр.
перец сладкий красный,гр.
перец сладкий красный маринованный,шт.
перец сладкий красный молотый,гр.
перец сладкий оранжевый,гр.
перец сладкий сушеный,гр.
перец сычуаньский,гр.
перец халапеньо,гр.
перец халапеньо маринованный,шт.
перец черный,ст. л.
перец черный горошком,по вкусу
перец черный молотый,гр.
перец черный свежемолотый,гр.
перец чили,гр.
перец чили зеленый,стручок
перец чили красный,стручок
перец чили маринованный,по вкусу
перец чили молотый,гр.
перец чили сухой,ст. л.
перец чили хлопьями,по вкусу
перец ямайский,гр.
перловая крупа,гр.
перловая мука,гр.
персики,гр.
персики консервированные,гр.
персики сушеные,горсть
персиковое пюре,гр.
персиковый джем,гр.
персиковый мармелад,ст. л.
персиковый сироп,мл.
персиковый сок,гр.
перцовая паста,ч. л.
петрушка,гр.
петрушка зелень,гр.
петрушка итальянская,пучок
петрушка корень,гр.
петрушка рубленая,гр.
петрушка сушеная,гр.
печень,гр.
печенье,по вкусу
печенье Oreo,гр.
печенье Амаретти,гр.
печенье бисквитное,гр.
печенье галетное,шт.
печенье «Дамские пальчики»,гр.
печенье песочное,гр.
печенье рассыпчатое,гр.
печенье Савоярди,гр.
печенье сахарное,гр.
печенье сладкое,гр.
печенье сухое,гр.
печенье шоколадное,гр.
печенье Юбилейное молочное,гр.
пиво,гр.
пиво имбирное,мл.
пиво нефильтрованное,гр.
пиво светлое,гр.
пиво темное,банка
пикша,шт.
питы,по вкусу
повидло,гр.
подсолнечное масло,гр.
подсолнечные семечки,гр.
полба,гр.
полба недозрелая,гр.
полента,по вкусу
полента быстрого приготовления,стакан
помело,гр.
помидоры,гр.
помидоры бурые,гр.
помидоры вяленые,по вкусу
помидоры вяленые в масле,гр.
помидоры желтые,шт.
помидоры зеленые,кг.
помидоры консервированные,гр.
помидоры консервированные в собственном соку,гр.
помидоры консервированные в собственном соку с базиликом,гр.
помидоры протертые пассата,гр.
помидоры соленые,шт.
помидоры сушеные хлопьями,гр.
помидоры черри,гр.
помидоры черри желтые,гр.
попкорн,гр.
поросенок,кг.
портвейн,гр.
портобелло,гр.
портулак,гр.
посыпка кондитерская,по вкусу
почки,гр.
приправа 4 перца,гр.
приправа 5 специй (five spice),ч. л.
приправа для баранины,ст. л.
приправа для картофеля,гр.
приправа для курицы,гр.
приправа для макарон,по вкусу
приправа для маринования свинины,по вкусу
приправа для морепродуктов,по вкусу
приправа для мяса,гр.
приправа для паэльи,по вкусу
приправа для пиццы,ч. л.
приправа для плова,гр.
приправа для птицы,ст. л.
приправа для рыбы,гр.
приправа для салатов,по вкусу
приправа заатар,ч. л.
приправа креольская,ст. л.
приправа с сушеными грибами,ч. л.
приправы,гр.
прованские травы,гр.
проволоне,гр.
просекко,мл.
простокваша,гр.
протеин сывороточный,гр.
прошутто,гр.
пряники,гр.
пряничные специи,гр.
пряности,гр.
псиллиум,гр.
птитим,гр.
пудинг,гр.
пудинг ванильный,гр.
пудинг ванильный инстант,упаковка
пудинг карамельный,гр.
пшеница,гр.
пшеничная крупа,гр.
пшеничная мука,гр.
пшеничная мука цельнозерновая,гр.
пшеничные зародыши,стакан
пшеничные отруби,гр.
пшеничные ростки,гр.
пшеничные хлопья,гр.
пшенные хлопья,ст. л.
пшено,гр.
пыльца цветочная,гр.
пюре,по вкусу
радиккио,шт.
разрыхлитель,гр.
раки,шт.
раковые шейки,гр.
раковые шейки в рассоле,гр.
рамбутан,гр.
рапаны,гр.
рапсовое масло,по вкусу
рассол,гр.
рассол от каперсов,ст. л.
рассол от оливок,ст. л.
растительное масло,гр.
растительное масло для жарки,гр.
растительное масло нерафинированное,стакан
растительное масло рафинированное,гр.
растительное молоко,стакан
ревень,гр.
реган,веточка
редис,гр.
редька,гр.
редька белая,шт.
редька зеленая,шт.
редька черная,шт.
репа,гр.
репа белая,шт.
ржаная закваска,гр.
ржаная закваска густая,гр.
ржаная мука,гр.
ржаные отруби,гр.
ригатони,гр.
рикотта,гр.
рикотта твердая,гр.
рис,гр.
рис арборио,гр.
рис басмати,гр.
рис бурый,гр.
рис бурый и дикий смесь,гр.
рис вареный,гр.
рис виола,гр.
рис девзира,гр.
рис дикий,гр.
рис дикий и золотистый смесь,гр.
рис длиннозерный,гр.
рис длиннозерный золотистый,гр.
рис для плова,гр.
рис для пудинга,гр.
рис для ризотто,гр.
рис для суши,гр.
рис жасминовый,гр.
рис золотистый,гр.
рис индика,гр.
рис италика,гр.
рис карнароли,гр.
рис красный,гр.
рис круглозерный,гр.
рис кубанский,гр.
рисовая бумага,гр.
рисовая лапша,гр.
рисовая мука,гр.
рисовое вино,ч. л.
рисовые хлопья,гр.
рисовые шарики воздушные,гр.
рисовый крахмал,ст. л.
рисовый уксус,по вкусу
рис пропаренный,гр.
рис пропаренный и дикий смесь,гр.
рис японика,гр.
рожь,гр.
розмарин,шт.
розмарин сушеный,по вкусу
розовая вода,гр.
розовые бутоны сушеные,гр.
розовые лепестки,гр.
розы,гр.
рокфор,гр.
ром,бутылка
ромашка сушеная,гр.
ромовый экстракт,ч. л.
ром темный,гр.
ростбиф,гр.
рукола,гр.
рулька,по вкусу
рыба,гр.
рыба белая,гр.
рыба белая филе,гр.
рыба консервированная,банка
рыба копченая,гр.
рыба копченая филе,гр.
рыба красная,гр.
рыба красная соленая,гр.
рыба красная филе,гр.
рыба-меч,гр.
рыба морская,гр.
рыба солнечник филе,шт.
рыба-соль,тушка
рыбное филе,гр.
рыбные консервы,гр.
рыбные кости,гр.
"рыбные обрезки, головы, плавники",по вкусу
рыбный бульон,гр.
рыбный соус,гр.
рыбный соус Nam Pla,гр.
рыбный соус тайский,гр.
рыбный фарш,гр.
рябина черноплодная,гр.
рябчик,гр.
ряженка,гр.
ряженка 4%,гр.
сайда,гр.
сайда филе,гр.
сайра,гр.
сайра консервированная,банка
саке,ст. л.
салака,гр.
салат,гр.
салат айсберг,гр.
салат китайский,гр.
салат корн,пучок
салат кочанный,гр.
салат кучерявый,гр.
салат листовой,гр.
салатный микс,гр.
салат романо,гр.
салат фриссе,гр.
сало,гр.
сало копченое в перце,гр.
сало копченое с мясными прослойками,гр.
сало с мясными прослойками,гр.
сальник,гр.
сальса,гр.
сальса верде,ч. л.
салями,гр.
салями итальянская,гр.
сардельки,гр.
сардельки копченые,гр.
сардинки маленькие,шт.
сардины,гр.
сардины в масле,банка
сахар,гр.
сахар ванильный,гр.
сахар демерара,гр.
сахар жемчужный,гр.
сахар коричневый,гр.
сахар коричневый крупнокристаллический,гр.
сахар мусковадо,горсть
сахарная пудра,гр.
сахарная пудра апельсиновая,гр.
сахарная пудра ванильная,гр.
сахарные жемчужинки,гр.
сахарные кондитерские украшения,горсть
сахарный песок,гр.
сахарный песок крупный,гр.
сахарный песок мелкий,гр.
сахарный сироп,гр.
сахар пальмовый,гр.
сахар-рафинад,гр.
сахар-рафинад с корицей,гр.
сахар тростниковый,гр.
сванская соль,гр.
свекла,гр.
свекла вареная,гр.
свекольная ботва,гр.
свекольные листья,гр.
свиная вырезка,гр.
свиная голова,гр.
свиная грудинка,гр.
свиная корейка,гр.
свиная корейка копченая,гр.
свиная корейка на кости,гр.
свиная лопатка варено-копченая,гр.
свиная мякоть,гр.
свиная пашина,кг.
свиная печень,гр.
свиная рулька,по вкусу
свиная рулька варено-копченая,гр.
свиная рулька копченая,гр.
свиная шейка,кусок
свинина,гр.
свинина вареная,гр.
свинина нежирная,гр.
свинина с жирком,гр.
свиное сердце,гр.
свиное филе,гр.
свиной подчеревок,гр.
свиной фарш,гр.
свиной язык,гр.
свиные котлеты на косточке,шт.
свиные легкие,гр.
свиные ножки,гр.
свиные отбивные,гр.
свиные отбивные на косточке,гр.
свиные ребра,гр.
свиные уши,шт.
свиные щечки,шт.
свити,гр.
сельдерей,гр.
сельдерей зелень,гр.
сельдерей корень,гр.
сельдерей корень сушеный,по вкусу
сельдерейная соль,гр.
сельдерей семена,ч. л.
сельдерей стебли,гр.
сельдь,гр.
сельдь слабосоленая,гр.
сельдь соленая,шт.
сельдь филе,гр.
семга,гр.
семга копченая,гр.
семга свежая,гр.
семга соленая,гр.
семга филе на коже,гр.
семечки,гр.
семечки смесь,ст. л.
семолина,гр.
сервелат варено-копченый,гр.
сибас,гр.
сидр,гр.
сироп,гр.
сироп от консервированных груш,гр.
сироп от консервированных персиков,ст. л.
сироп топинамбура,стакан
скумбрия,по вкусу
скумбрия свежая,гр.
скумбрия филе,гр.
скумбрия холодного копчения,гр.
сливки,упаковка
сливки 10-20%,гр.
сливки 15%,гр.
сливки 20%,гр.
сливки 33-35%,гр.
сливки жирные,гр.
сливки кондитерские,гр.
сливовая паста,гр.
сливовое варенье,гр.
сливовое вино,гр.
сливовый джем,гр.
сливовый ликер,ст. л.
сливовый соус,гр.
сливочное масло,гр.
сливы,кг.
сливы замороженные,гр.
смалец,гр.
смесь для кекса,шт.
смесь для оладий,гр.
смесь для хлеба 8 злаков,гр.
сметана,гр.
сметана 10%,гр.
сметана 15%,ч. л.
сметана 18%,гр.
сметана 20%,гр.
сметана 25%,гр.
сметана 30%,гр.
сметана 35%,гр.
сметана жирная,гр.
сметана нежирная,гр.
сметана некислая,гр.
смородина сушеная,гр.
смородиновые листья,гр.
сморчки сухие,гр.
снежок,мл.
сныть,гр.
сода,гр.
соевая мука,гр.
соевое масло,гр.
соевое молоко,гр.
соевые ростки,гр.
соевый соус,гр.
сок,гр.
сок из красных апельсинов,мл.
сок мультивитаминный,мл.
сок юзу,мл.
солод,ч. л.
солод жидкий,гр.
солодовый экстракт,гр.
солод темный,гр.
соломка,гр.
соль,гр.
соль гималайская,гр.
соль крупного помола,гр.
соль морская,гр.
сом филе,гр.
сосиски,гр.
сосиски из куриного фарша,шт.
сосиски копченые,гр.
соус,гр.
соус black bean,ст. л.
соус sambal oelek,ч. л.
соус барбекю,гр.
соус краснодарский,гр.
соус красный острый,гр.
соус мирин,по вкусу
соус наршараб,гр.
соус острый,гр.
соус песто,по вкусу
соус сацебели,гр.
соус табаско,капля
соус терияки,гр.
соус ткемали,стакан
соус ткемали благородный,гр.
соус ткемали ранний,ст. л.
соус устричный,ч. л.
соус чили,гр.
соус чили сладкий,ч. л.
соус экзотический,гр.
соя,гр.
спагетти,гр.
спагетти № 3,гр.
спагетти № 5,гр.
спагетти лунги,гр.
спаржа,кг.
спаржа белая,гр.
спаржа зеленая,гр.
спаржа молодая,гр.
спек,гр.
спельта,стакан
спельтовая (полбяная) мука,гр.
специи,гр.
спирт,гр.
спирулина порошок,гр.
спред,гр.
ставрида,гр.
стейк семги,шт.
стейк семги,гр.
стеклянная лапша,гр.
страчателла,гр.
судак,гр.
судак филе,гр.
судак филе на коже,гр.
сулугуни,гр.
сулугуни копченый,гр.
сумах,гр.
суповой набор,гр.
сухари,по вкусу
сухари белые,гр.
сухари молотые,гр.
сухари панировочные,гр.
сухари ржаные,гр.
сухарная крошка,гр.
сухофрукты,гр.
сухофрукты тропические,по вкусу
сушки,гр.
сыворотка,гр.
сыр,гр.
сыр tete de moine,гр.
сыр Австрия блю,гр.
сыр адыгейский,гр.
сыр бри,гр.
сыр буко,гр.
сыр гауда,гр.
сыр гойя,гр.
сыр голландский,гр.
сыр голубой,гр.
сыр гравьера,гр.
сыр джугас,гр.
сыр домашний,гр.
сыр дорблю,гр.
сыр имеретинский,гр.
сыр кефалотири,гр.
сырки творожные,гр.
сыр козий мягкий,гр.
сыр козий твердый,гр.
сыр колбасный,гр.
сыр копченый,гр.
сыр коттедж,гр.
сыр Маскарпоне,гр.
сыр мраморный,гр.
сыр мягкий,по вкусу
сыр овечий,гр.
сыр панир,гр.
сыр пеше миньон,гр.
сыр плавленый,гр.
сыр плавленый шоколадный,гр.
сыр пластинками,гр.
сыр полутвердый,гр.
сыр провола,гр.
сыр российский,гр.
сыр скаморца,гр.
сыр скаморца копченый,гр.
сыр сливочный,гр.
сыр с плесенью,гр.
сыр с плесенью мягкий,гр.
сыр твердый,гр.
сыр филадельфия,гр.
сыр фонтина,гр.
сыр хаварти,гр.
сыр швейцарский,гр.
сычужный фермент,ч. л.
таледжо,гр.
тальолини,гр.
тальятелле,гр.
тальятелле-гнезда,шт.
тамаринд,шт.
тамариндовая паста,ч. л.
тапиока,гр.
тарталетки,по вкусу
тартар,ст. л.
тархун,гр.
творог,гр.
творог 18%,гр.
творог 2%,гр.
творог 5%,гр.
творог 9%,гр.
творог жирный,гр.
творог зерненый,гр.
творог обезжиренный,гр.
творожная масса,гр.
творожная паста,гр.
творожный сыр,гр.
творожный сыр соленый,гр.
творожок клубничный,гр.
текила,стакан
телятина,по вкусу
телятина вареная,гр.
телячий фарш,гр.
телячьи отбивные на косточке,шт.
телячьи шницели,шт.
телячьи эскалопы,гр.
телячья вырезка,гр.
телячья печень,гр.
телячья щека,шт.
тесто бездрожжевое,гр.
тесто готовое,гр.
тесто для вонтонов,гр.
тесто для пиццы,шт.
тесто дрожжевое,по вкусу
тесто катаифи,гр.
тесто макаронное,гр.
тесто макаронное для лазаньи,гр.
тесто пельменное,гр.
тесто песочное,по вкусу
тесто пресное,гр.
тесто пряничное,гр.
тесто слоеное,гр.
тесто слоеное бездрожжевое,по вкусу
тесто слоеное дрожжевое,кг.
тесто фило,гр.
тилапия,гр.
тилапия филе,гр.
тильзитер,гр.
тимьян,горсть
тимьян лимонный,веточка
тимьян свежий,по вкусу
тимьян сушеный,гр.
ткемали,гр.
тмин,гр.
тмин молотый,гр.
томатная паста,гр.
томатное пюре,гр.
томатный концентрат,гр.
томатный порошок,гр.
томатный сок,гр.
томатный соус,гр.
томатный соус итальянский,гр.
томатный соус острый,гр.
томатный соус с базиликом,гр.
тоник,бутылка
топинамбур,гр.
топленое масло,гр.
тортильи,по вкусу
тортильони,гр.
тофу,гр.
травы ароматные,гр.
травы пряные с перцем,ч. л.
травы сухие,гр.
треска,гр.
треска печень,гр.
треска филе,гр.
трюфель,гр.
трюфельная крошка,гр.
трюфельное масло,ст. л.
трюфель черный,шт.
тунец,по вкусу
тунец консервированный,гр.
тунец филе,гр.
тушенка,гр.
тыква,гр.
тыквенное масло,шт.
тыквенное пюре,гр.
тыквенные семечки,гр.
тюлька свежая,гр.
угорь,гр.
угорь копченый,гр.
угурт,гр.
укроп,гр.
укропное семя,ч. л.
укроп свежий,гр.
укроп сушеный,гр.
уксус,гр.
уксус 9%,гр.
уксус из сидра,ст. л.
уксусная эссенция,гр.
уксус столовый,гр.
улитки,гр.
улитки виноградные,шт.
урюк,гр.
устрицы,гр.
утиная грудка,гр.
утиная печень,гр.
утиное филе,гр.
утиные бедрышки,гр.
утиные ножки,по вкусу
утка,по вкусу
утка печеная,гр.
утка тушка,тушка
уцхо-сунели,гр.
фазан,гр.
фарш (баранина и говядина),гр.
фарш (свинина и курица),гр.
фасоль,гр.
фасоль белая,гр.
фасоль белая консервированная,гр.
фасоль белая лима,гр.
фасоль зеленая стручковая,гр.
фасоль кенийская,горсть
фасоль кидни красная,гр.
фасоль консервированная,гр.
фасоль красная,гр.
фасоль красная вареная,стакан
фасоль красная консервированная,гр.
фасоль молодая замороженная,гр.
фасоль пинто,гр.
фасоль спаржевая вареная,гр.
фасоль стручковая,гр.
фасоль стручковая замороженная,гр.
фасоль стручковая консервированная,гр.
фасоль черный глаз,гр.
фейхоа,гр.
фенхель,гр.
фенхель семена,гр.
фенхель семена молотые,гр.
фестонате,гр.
фета,гр.
фетаки,гр.
фетакса,гр.
феттучине,гр.
фиалки засахаренные,шт.
фиалковый сироп,гр.
физалис,по вкусу
филе красного окуня,шт.
филе лосося,гр.
филе палтуса,шт.
финики,гр.
финики без косточек,стакан
финики иранские,гр.
финики иранские без косточек,шт.
фисташки,гр.
фисташки очищенные,гр.
фисташки очищенные несоленые,горсть
фисташки рубленые,гр.
фисташковая мука,гр.
фисташковая паста,гр.
фисташковое масло,гр.
фокачча,по вкусу
форель,гр.
форель вареная,гр.
форель горячего копчения,гр.
форель озерная свежая,шт.
форель слабосоленая,гр.
форель стейки,шт.
форель филе,гр.
форель холодного копчения,гр.
фрикадельки,гр.
фрукт дракона,шт.
фруктовый сироп,гр.
фруктовый сок,гр.
фруктовый сок без сахара,стакан
фруктоза,гр.
фрукты,гр.
фрукты консервированные,гр.
фундук,гр.
фундучная мука,гр.
фунчоза,гр.
халва,гр.
халва ванильная,гр.
халва подсолнечная,гр.
халуми,гр.
хамон,гр.
хек,гр.
хек филе,гр.
херес,стакан
хересный уксус,ч. л.
хлеб,гр.
хлеб 7 злаков,батон
хлеб белый,гр.
хлеб белый сухой,гр.
хлеб бородинский,кусок
хлеб датский ржаной,гр.
хлеб для сэндвичей,гр.
хлебная крошка,гр.
хлеб ржаной,гр.
хлеб серый,гр.
хлеб с кунжутом,кусок
хлеб цельнозерновой,гр.
хлебцы пшенично-ржаные цельнозерновые,гр.
хлопья 4 злака,гр.
хлопья 5 злаков,гр.
хлопья 7 злаков,ст. л.
хлопья быстрого приготовления,стакан
хлорид кальция,гр.
хмели-сунели,гр.
хмель,ст. л.
хрен,гр.
хрен протертый,гр.
хрен со сливками,гр.
хурма,гр.
хурма спелая,гр.
цесарка тушка,гр.
цикорий,ч. л.
цитроновые цукаты,горсть
цитрусовые цукаты,шт.
цитрусовый свежевыжатый сок,мл.
цукаты,гр.
цукини,гр.
цукини цветы,шт.
цыплята,гр.
цыплята-корнишоны,шт.
чабер,гр.
чабрец,гр.
чабрец сушеный,гр.
чай дарджилинг,пакетик
чай жасминовый,ст. л.
чай зеленый,пакетик
чай копченый лапсанг сушонг,гр.
чай красный,гр.
чай ройбуш,ст. л.
чай черный,гр.
чай черный крупнолистовой,ч. л.
чай черный со специями,пакет
чай эрл грей,стакан
чатни манго,гр.
чеддер,гр.
черемуха,гр.
черемуховая мука,гр.
черемша,гр.
черешневый джем,гр.
черешня,гр.
черешня консервированная без косточек,ст. л.
черная смородина,гр.
черника,гр.
черника замороженная,гр.
чернила каракатицы,гр.
черничный джем,стакан
чернослив,гр.
чернослив без косточек,гр.
чернослив вяленый,гр.
чернослив копченый без косточек,гр.
черносмородиновое варенье,гр.
черносмородиновый джем,гр.
чеснок,гр.
чеснок молодой,гр.
чеснок сушеный,гр.
чесночная соль,щепотка
чесночное масло,по вкусу
чесночный порошок,гр.
чечевица,гр.
чечевица вареная,ст. л.
чечевица зеленая,гр.
чечевица красная,гр.
чечил спагетти,гр.
чиабатта,кусок
чиа семена,гр.
чипотле молотый,щепотка
чипсы,гр.
чоризо,гр.
шалфей,гр.
шалфей свежий,пучок
шалфей сушеный,лист
шампанское,гр.
шампанское советское,стакан
шампанское сухое,ст. л.
шампиньоны,по вкусу
шампиньоны замороженные,гр.
шампиньоны консервированные,гр.
шампиньоны маринованные,гр.
шампиньоны свежие,гр.
шафран,гр.
шафран имеретинский,гр.
шафран молотый,ч. л.
шафран нити,шт.
шелковица,гр.
шелковица сушеная,гр.
шиповник,гр.
шиповниковый сироп,гр.
шнапс,гр.
шнитт-лук,стебель
шоколад,гр.
шоколад белый,гр.
шоколад горький с апельсиновой цедрой,гр.
шоколад молочный,гр.
шоколад мятный,гр.
шоколадная паста,гр.
шоколадная стружка,гр.
шоколадное масло,гр.
шоколадно-ореховая паста,гр.
шоколадные горошины,гр.
шоколадные капли,гр.
шоколадные капли белые,гр.
шоколадные конфеты,гр.
шоколадные хлопья,гр.
шоколадные шарики из готовых завтраков,горсть
шоколадный ликер,гр.
шоколадный сироп,гр.
шоколадный соус,гр.
шоколад полусладкий,гр.
шоколад с орехами,гр.
шоколад черный горький,гр.
шоколад черный горький 70%,гр.
шоколад черный горький 75%,ч. л.
шоколад черный горький 85%,гр.
шортенинг,стакан
шпик,шт.
шпик копченый,гр.
шпинат,гр.
шпинат замороженный,гр.
шпинат молодой,гр.
шпинат свежий,гр.
шпроты,гр.
шпроты в масле,гр.
шрот,гр.
щавель замороженный,гр.
щавель свежий,веточка
щука,гр.
щука филе,гр.
эгг-ног,стакан
эдам,гр.
эль,мл.
эмменталь,гр.
эскалоп,гр.
эстрагон,гр.
эстрагон сушеный,веточка
яблоки,гр.
яблоки антоновка,кг.
яблоки гала,гр.
яблоки голден,гр.
яблоки гренни смит,кг.
яблоки зеленые,гр.
яблоки красные,шт.
яблоки моченые,шт.
яблоки нетвердых сортов,гр.
яблоки сладкие,гр.
яблоки сушеные,гр.
яблочная эссенция,ч. л.
яблочное варенье,гр.
яблочное повидло,гр.
яблочное пюре,гр.
яблочные чипсы,стакан
яблочный джем,гр.
яблочный сироп,ст. л.
яблочный сок,гр.
яблочный соус,ст. л.
яблочный уксус,гр.
ягнятина,гр.
ягнятина кострец,гр.
ягнятина фарш,гр.
ягнячьи отбивные на косточке,шт.
ягнячья голень нарубленная,гр.
ягнячья корейка,гр.
ягодное варенье,ст. л.
ягодное желе,гр.
ягодный сироп,гр.
ягодный сок,гр.
ягодный соус кислый,гр.
ягоды,гр.
ягоды вяленые,по вкусу
ягоды замороженные,гр.
ягоды лесные,гр.
ягоды лесные замороженные,гр.
яичные белки,гр.
яичные желтки,гр.
яичные желтки вареные,шт.
яичные желтки крупные,гр.
яичный меланж,гр.
яичный порошок,ст. л.
яйца куриные,гр.
яйца куриные крупные,гр.
яйца перепелиные,гр.
японская крошка панко,гр.
ячменные хлопья,гр.
ячмень,гр.
ячневая крупа,гр.
